SPO_13,OVP_13,FPO_13,BZO_13,GRUNE_13,FRANK_13,NEOS_13,SONST_13,NW_13,SPO_17,OVP_17,FPO_17,GRUNE_17,NEOS_17,PILZ_17,SONST_17,NW_17
460,123,201,86,82,40,24,8,543,349,231,331,13,20,28,13,575
137,104,133,66,50,55,20,4,305,105,182,241,9,16,12,12,256
297,209,285,194,95,92,32,11,696,268,354,532,12,57,38,20,606
69,66,74,50,40,40,25,8,228,67,117,154,12,27,22,5,186
338,146,205,97,47,99,40,4,566,294,284,357,6,41,21,8,462
192,109,203,79,55,48,13,5,461,156,165,380,11,14,13,7,442
515,242,372,207,195,181,88,19,1170,460,509,685,24,81,65,29,1094
218,120,193,119,54,49,24,1,556,200,268,344,9,32,17,7,450
3852,3057,2461,341,1393,500,584,292,6124,3696,3964,3164,357,620,539,280,5538
9881,5210,4939,679,2867,1118,1162,524,12868,9642,7128,6742,841,1209,1189,656,11896
1450,2504,992,212,697,267,274,81,2596,1450,2685,1431,196,328,259,110,2535
6501,3300,4790,601,2054,1076,882,411,11305,6347,5547,6201,568,914,977,480,10272
245,577,230,30,116,46,36,16,347,253,617,361,30,41,34,22,331
4250,2586,2749,413,1227,516,424,191,5484,3788,3507,3731,294,529,425,292,4945
351,914,421,54,176,76,64,32,615,319,998,615,52,105,46,40,583
393,840,375,70,171,92,69,34,829,367,886,626,41,97,46,38,810
487,648,409,86,220,114,55,28,548,502,808,585,38,83,63,54,530
249,617,215,47,123,54,50,18,405,222,744,340,30,64,46,30,370
664,187,359,30,147,66,27,29,686,715,330,462,34,49,55,21,651
404,386,229,27,110,68,48,12,483,415,463,293,20,54,37,39,482
95,355,146,23,45,44,16,15,281,84,384,249,9,17,9,13,255
218,830,263,45,176,58,48,14,383,232,860,436,41,93,42,21,365
169,490,228,29,76,35,38,12,313,147,516,311,16,51,41,20,334
775,1123,494,84,383,142,151,42,1250,724,1255,719,103,189,89,85,1301
602,730,363,84,230,102,63,28,672,649,861,591,50,91,46,40,631
352,401,139,20,60,48,25,8,356,263,442,212,15,39,23,17,357
614,353,288,30,74,62,34,25,500,508,395,432,21,25,46,32,489
197,710,359,69,142,79,55,15,605,232,769,525,36,106,29,12,539
264,631,257,30,81,29,25,9,388,248,639,433,10,55,19,15,296
201,366,192,43,123,47,42,15,385,200,438,302,21,44,38,11,431
143,236,81,14,33,28,10,13,166,123,250,131,8,21,28,7,134
94,152,58,5,21,10,8,5,113,70,163,92,7,11,5,3,90
350,605,353,44,116,70,52,23,549,321,710,496,33,74,30,28,547
549,360,308,51,128,71,49,38,502,498,494,405,46,58,42,42,505
520,1313,505,87,334,129,107,20,1035,562,1394,755,75,129,91,70,1028
2236,992,955,149,585,289,185,95,1959,2120,1322,1352,133,283,186,107,1975
305,762,352,50,234,75,66,43,704,374,833,509,75,115,58,51,611
